我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
肝脏不好就吃肝脏，胃不好就吃胃，他们好像相信这样就可以把病治好哟。所以我呢，想吃你的胰脏。	这个『你』，难道是指我吗？
我小小的内脏，没法背负拯救你的重大任务啦。	好像压力大到胃都要痛了的样子。
所以找别人吧。	要去找谁？就算是我也不觉得能吃家人啊。
所以只好拜托『知道秘密的同学』啦。	你就没有考虑到我也可能需要胰脏吗？
反正你根本不知道胰脏是干嘛用的——	我知道喔。
什么啊，原来『知道秘密的同学』对我还是有兴趣的呀。	……那当然，罹患重病的同班同学真是太有意思了。
不是这个，我本人呢？	……很难说。
辛苦了。图书馆已经关门了，你们不用著急。来吧，喝茶吃点心。	哇——，谢谢老师！
下星期就要考试了，对你们俩真不好意思。	不会不会，没关系的。我们两个成绩一直都不错啦，对不对？『知道秘密的同学』。
你们俩都已经考虑过要上大学了吗？山内同学呢？	我还没想过呢——。是还没想，还是已经想了呢？
『乖乖牌学生』呢？	我也还没。
你们俩都要好好思考未来才行，一个不小心就会到我这个年纪了。	啊哈哈哈哈，不会那样的啦——
书库好热啊——	是啊。
明天也做那个吧！不过，明天来学校也放假呢！	是啊。
……你有在听吗？	有在听啊。
没人教你要好好听别人说话吗？	有教啊，所以我有在听。
那我刚才说了什么？	……点心。
对不起对不起，我在想事情。	嗯，想事情？
对。我一直在想，而且是认真的。	喔——，到底是什么事？
我？哎——，什么啊！爱的告白？哇——，好紧张！	……不是的。那个……
嗯。	剩下不多的生命，花在整理图书馆真的好吗？
当然好啊。	我觉得并不好。
是吗？那你说我该做什么？	比方说，跟初恋的人见面啊、到国外去搭便车旅行、决定最后的葬身之地之类的。你总有想做的事吧？
唔——，我也不是不明白你想说什么啦。比方说，『知道秘密的同学』也有想在死前做的事，对吧？	……也不是没有……吧。
但是现在并没有做，不是嘛？你跟我，明天都说不定会死啊。从这点来说，我们并没有什么不同，真的。一天的价值都是一样的，做了什么事之类的差别，并不能改变我今天的价值。今天我很开心。	……原来如此。
加油！	辛苦啦，樱良！
那家伙！竟然无视『知道秘密的同学』——，明天得教训他一下！	没关系！啊，不对，不要跟他说，反正我无所谓。
真是的——，你就是这样，所以没有朋友啦！	虽然是事实，但不劳你费心。
掰啦！	我刚刚说的话—
要是一定要这样的话，我仅存的余生就让『知道秘密的同学』帮忙也无不可喔！	什么意思？
星期天，有空吗？	啊，抱歉，我要跟可爱的女朋友约会。那个女生一觉得被冷落就会抓狂。
骗人的吧？	骗人的。
我之前在这里割了盲肠，今天来做术后治疗。	喔，原来是这样。我是来检查胰脏的。要是不给医生看就会死掉喔。
